image_path,label,split
driver_dataset/train/Open/_401.jpg,Open,train
driver_dataset/train/Open/_320.jpg,Open,train
driver_dataset/train/Open/_219.jpg,Open,train
driver_dataset/train/Open/_612.jpg,Open,train
driver_dataset/train/Open/_275.jpg,Open,train
driver_dataset/train/Open/_182.jpg,Open,train
driver_dataset/train/Open/_80.jpg,Open,train
driver_dataset/train/Open/_179.jpg,Open,train
driver_dataset/train/Open/_387.jpg,Open,train
driver_dataset/train/Open/_323.jpg,Open,train
driver_dataset/train/Open/_218.jpg,Open,train
driver_dataset/train/Open/_295.jpg,Open,train
driver_dataset/train/Open/_273.jpg,Open,train
driver_dataset/train/Open/_534.jpg,Open,train
driver_dataset/train/Open/_470.jpg,Open,train
driver_dataset/train/Open/_613.jpg,Open,train
driver_dataset/train/Open/_521.jpg,Open,train
driver_dataset/train/Open/_598.jpg,Open,train
driver_dataset/train/Open/_716.jpg,Open,train
driver_dataset/train/Open/_439.jpg,Open,train
driver_dataset/train/Open/_582.jpg,Open,train
driver_dataset/train/Open/_471.jpg,Open,train
driver_dataset/train/Open/_588.jpg,Open,train
driver_dataset/train/Open/_675.jpg,Open,train
driver_dataset/train/Open/_72.jpg,Open,train
driver_dataset/train/Open/_659.jpg,Open,train
driver_dataset/train/Open/_466.jpg,Open,train
driver_dataset/train/Open/_141.jpg,Open,train
driver_dataset/train/Open/_646.jpg,Open,train
driver_dataset/train/Open/_344.jpg,Open,train
driver_dataset/train/Open/_443.jpg,Open,train
driver_dataset/train/Open/_159.jpg,Open,train
driver_dataset/train/Open/_574.jpg,Open,train
driver_dataset/train/Open/_51.jpg,Open,train
driver_dataset/train/Open/_512.jpg,Open,train
driver_dataset/train/Open/_632.jpg,Open,train
driver_dataset/train/Open/_591.jpg,Open,train
driver_dataset/train/Open/_130.jpg,Open,train
driver_dataset/train/Open/_715.jpg,Open,train
driver_dataset/train/Open/_526.jpg,Open,train
driver_dataset/train/Open/_155.jpg,Open,train
driver_dataset/train/Open/_381.jpg,Open,train
driver_dataset/train/Open/_305.jpg,Open,train
driver_dataset/train/Open/_78.jpg,Open,train
driver_dataset/train/Open/_175.jpg,Open,train
driver_dataset/train/Open/_201.jpg,Open,train
driver_dataset/train/Open/_515.jpg,Open,train
driver_dataset/train/Open/_26.jpg,Open,train
driver_dataset/train/Open/_530.jpg,Open,train
driver_dataset/train/Open/_461.jpg,Open,train
driver_dataset/train/Open/_719.jpg,Open,train
driver_dataset/train/Open/_99.jpg,Open,train
driver_dataset/train/Open/_479.jpg,Open,train
driver_dataset/train/Open/_186.jpg,Open,train
driver_dataset/train/Open/_514.jpg,Open,train
driver_dataset/train/Open/_171.jpg,Open,train
driver_dataset/train/Open/_576.jpg,Open,train
driver_dataset/train/Open/_75.jpg,Open,train
driver_dataset/train/Open/_494.jpg,Open,train
driver_dataset/train/Open/_545.jpg,Open,train
driver_dataset/train/Open/_224.jpg,Open,train
driver_dataset/train/Open/_615.jpg,Open,train
driver_dataset/train/Open/_713.jpg,Open,train
driver_dataset/train/Open/_331.jpg,Open,train
driver_dataset/train/Open/_194.jpg,Open,train
driver_dataset/train/Open/_315.jpg,Open,train
driver_dataset/train/Open/_467.jpg,Open,train
driver_dataset/train/Open/_538.jpg,Open,train
driver_dataset/train/Open/_404.jpg,Open,train
driver_dataset/train/Open/_204.jpg,Open,train
driver_dataset/train/Open/_163.jpg,Open,train
driver_dataset/train/Open/_48.jpg,Open,train
driver_dataset/train/Open/_254.jpg,Open,train
driver_dataset/train/Open/_679.jpg,Open,train
driver_dataset/train/Open/_627.jpg,Open,train
driver_dataset/train/Open/_469.jpg,Open,train
driver_dataset/train/Open/_199.jpg,Open,train
driver_dataset/train/Open/_283.jpg,Open,train
driver_dataset/train/Open/_556.jpg,Open,train
driver_dataset/train/Open/_650.jpg,Open,train
driver_dataset/train/Open/_373.jpg,Open,train
driver_dataset/train/Open/_406.jpg,Open,train
driver_dataset/train/Open/_10.jpg,Open,train
driver_dataset/train/Open/_74.jpg,Open,train
driver_dataset/train/Open/_79.jpg,Open,train
driver_dataset/train/Open/_49.jpg,Open,train
driver_dataset/train/Open/_35.jpg,Open,train
driver_dataset/train/Open/_95.jpg,Open,train
driver_dataset/train/Open/_332.jpg,Open,train
driver_dataset/train/Open/_586.jpg,Open,train
driver_dataset/train/Open/_59.jpg,Open,train
driver_dataset/train/Open/_96.jpg,Open,train
driver_dataset/train/Open/_142.jpg,Open,train
driver_dataset/train/Open/_30.jpg,Open,train
driver_dataset/train/Open/_438.jpg,Open,train
driver_dataset/train/Open/_667.jpg,Open,train
driver_dataset/train/Open/_484.jpg,Open,train
driver_dataset/train/Open/_570.jpg,Open,train
driver_dataset/train/Open/_249.jpg,Open,train
driver_dataset/train/Open/_374.jpg,Open,train
driver_dataset/train/Open/_410.jpg,Open,train
driver_dataset/train/Open/_154.jpg,Open,train
driver_dataset/train/Open/_501.jpg,Open,train
driver_dataset/train/Open/_392.jpg,Open,train
driver_dataset/train/Open/_380.jpg,Open,train
driver_dataset/train/Open/_317.jpg,Open,train
driver_dataset/train/Open/_605.jpg,Open,train
driver_dataset/train/Open/_52.jpg,Open,train
driver_dataset/train/Open/_395.jpg,Open,train
driver_dataset/train/Open/_651.jpg,Open,train
driver_dataset/train/Open/_414.jpg,Open,train
driver_dataset/train/Open/_536.jpg,Open,train
driver_dataset/train/Open/_691.jpg,Open,train
driver_dataset/train/Open/_312.jpg,Open,train
driver_dataset/train/Open/_695.jpg,Open,train
driver_dataset/train/Open/_46.jpg,Open,train
driver_dataset/train/Open/_238.jpg,Open,train
driver_dataset/train/Open/_397.jpg,Open,train
driver_dataset/train/Open/_85.jpg,Open,train
driver_dataset/train/Open/_299.jpg,Open,train
driver_dataset/train/Open/_145.jpg,Open,train
driver_dataset/train/Open/_257.jpg,Open,train
driver_dataset/train/Open/_282.jpg,Open,train
driver_dataset/train/Open/_122.jpg,Open,train
driver_dataset/train/Open/_543.jpg,Open,train
driver_dataset/train/Open/_118.jpg,Open,train
driver_dataset/train/Open/_375.jpg,Open,train
driver_dataset/train/Open/_67.jpg,Open,train
driver_dataset/train/Open/_160.jpg,Open,train
driver_dataset/train/Open/_256.jpg,Open,train
driver_dataset/train/Open/_572.jpg,Open,train
driver_dataset/train/Open/_25.jpg,Open,train
driver_dataset/train/Open/_15.jpg,Open,train
driver_dataset/train/Open/_333.jpg,Open,train
driver_dataset/train/Open/_362.jpg,Open,train
driver_dataset/train/Open/_105.jpg,Open,train
driver_dataset/train/Open/_711.jpg,Open,train
driver_dataset/train/Open/_560.jpg,Open,train
driver_dataset/train/Open/_496.jpg,Open,train
driver_dataset/train/Open/_481.jpg,Open,train
driver_dataset/train/Open/_278.jpg,Open,train
driver_dataset/train/Open/_144.jpg,Open,train
driver_dataset/train/Open/_112.jpg,Open,train
driver_dataset/train/Open/_684.jpg,Open,train
driver_dataset/train/Open/_394.jpg,Open,train
driver_dataset/train/Open/_529.jpg,Open,train
driver_dataset/train/Open/_170.jpg,Open,train
driver_dataset/train/Open/_460.jpg,Open,train
driver_dataset/train/Open/_431.jpg,Open,train
driver_dataset/train/Open/_533.jpg,Open,train
driver_dataset/train/Open/_259.jpg,Open,train
driver_dataset/train/Open/_653.jpg,Open,train
driver_dataset/train/Open/_236.jpg,Open,train
driver_dataset/train/Open/_269.jpg,Open,train
driver_dataset/train/Open/_449.jpg,Open,train
driver_dataset/train/Open/_490.jpg,Open,train
driver_dataset/train/Open/_409.jpg,Open,train
driver_dataset/train/Open/_426.jpg,Open,train
driver_dataset/train/Open/_39.jpg,Open,train
driver_dataset/train/Open/_405.jpg,Open,train
driver_dataset/train/Open/_314.jpg,Open,train
driver_dataset/train/Open/_290.jpg,Open,train
driver_dataset/train/Open/_212.jpg,Open,train
driver_dataset/train/Open/_261.jpg,Open,train
driver_dataset/train/Open/_352.jpg,Open,train
driver_dataset/train/Open/_89.jpg,Open,train
driver_dataset/train/Open/_415.jpg,Open,train
